Node,Symbol,Type
Russian,RUS,1
Belarusian,BEL,1
Ukrainian,UKR,1
Polish,POL,1
Bulgarian,BUL,1
Macedonian,MKD,1
Slovak-Czech,SLK,1
Dummy,CES,10
Bosnian-Croatian-Serbian,HBS,1
Slovenian,SLV,1
Danish,DAN,2
English,ENG,2
Welsh,CYM,2
Irish,GLE,2
Icelandic,ISL,2
Swedish,SWE,2
Dutch,NLD,2
Norwegian,NOR,2
Afrikaans,AFR,2
German,DEU,2
Romanian,RON,3
Esperanto,EPO,3
French,FRA,3
Catalan,CAT,3
Spanish,SPA,3
Italian,ITA,3
Portuguese,POR,3
Greek,ELL,4
Lithuanian,LIT,4
Basque,EUS,4
Georgian,KAT,4
Hungarian,HUN,4
Latvian,LAV,4
Estonian,EST,4
Finnish,FIN,4
Malay,MSA,5
Indonesian,IND,5
Turkish,TUR,5
Azerbaijani,AZE,5
Kurdish,KUR,5
Persian,FAS,5
Punjabi,PAN,6
Gujarati,GUJ,6
Hindi,HIN,6
Nepali,NEP,6
Urdu,URD,6
Bengali,BEN,6
Telugu,TEL,7
Kannada,KAN,7
Malayalam,MAL,7
Tamil,TAM,7
